asin,product_name,brand,sku,seo_owner,ppc_owner,in_monthly_pnl,in_prime_day
B08GGCD1KR,VitalCore Organic Ashwagandha with Black Pepper 605 mg 180 Capsules,VitalCore,,Tamahra,Akshay,0,1
B08GSRX9RN,VitalCore Tea Infuser 500ml Bottle,VitalCore,,Tamahra,Srikara,0,0
B08HJPDMTR,VitalCore Multivitamins with Minerals 365 Tablets,VitalCore,CC0410,Aneesh,Sourabh,1,1
B08HQGTVQX,PawVista Flea and Tick Control 500ml Spray,PawVista,,Shirley,Srikara,1,0
B08HYVCTG7,PawVista Flea and Tick Collar,PawVista,,,,0,0
B08J48DNCN,VitalCore Vitamin D3 2000IU 400 Tablets,VitalCore,,Tamahra,Akshay,0,0
B08K997VY4,PawVista Anti-Chew Spray for Cats & Dogs 250ml Spray,PawVista,,Shirley,Srikara,1,0
B08K997YCF,PawVista Coprophagia for Dogs 120 Tablets,PawVista,,Aneesh,Amjad,1,0
B08KJ9FZBC,Medora Multivitamin Gummies for Kids 120 Gummies,Medora,CC0416,Aneesh,Sourabh,1,1
B08KRNGDTR,PawVista Itch Relief 250ml Liquid,PawVista,,Shirley,Srikara,1,0
B08KRSRFGK,PawVista Wormwood Advanced for Cats & Dogs 120ml Liquid,PawVista,CC0423,Shirley,Srikara,1,1
B08KTJM5GP,VitalCore Skinny Tea (Morning) 28 Days,VitalCore,,,,0,0
B08KTL3W1S,VitalCore Ceremonial Matcha Tea,VitalCore,,,,0,0
B08KVVWS79,VitalCore Bedtime Complex,VitalCore,,,,0,0
B08KZ26V41,VitalCore Skinny and Detox tea 28 Teabags,VitalCore,,Aneesh,Syed,1,0
B08L6MVQNX,VitalCore Vegan Collagen Complex,VitalCore,,,,0,0
B08L935BHL,PawVista Calming Aid For Dogs 120 Tablets,PawVista,,Aneesh,Amjad,1,0
B08LTK2RMH,VitalCore Liposomal Vitamin C 1000mg 250ml Liquid,VitalCore,,Tamahra,Srikara,0,0
B08LZS1RH5,VitalCore L Arginine Amino Acid,VitalCore,,,,0,0
B08MQB6JTJ,VitalCore Fruit Infuser (New),VitalCore,,,,0,0
B08PKYTQSL,VitalCore Liposomal Vitamin C 1000mg 180 Capsules,VitalCore,CC0372,Tamahra,Srikara,0,1
B08PPNYW21,VitalCore Omega Fish Oil,VitalCore,,,,0,0
B08PVZM37H,VitalCore OrganicMushroomComplex180Capsules,VitalCore,CC0014,Tamahra,Akshay,0,1
B08Q492WQV,VitalCore Vitamin C + Zinc,VitalCore,,,,0,0
B08Q49SV5Y,VitalCore Vitamin C Gummies 200mg 120 Gummies,VitalCore,,Tamahra,Srikara,0,0
B08QNHTFCH,PawVista L-Lysine 250g Powder,PawVista,CC0415,Twinkle,Amjad,1,1
B08RRZPPNP,VitalCore Cranberry with Vitamin C 15000mg 180 Capsule,VitalCore,CC0008,Aneesh,Akshay,1,1
B08TCG2RH7,"VitalCore Calcium, Magnesium and Zinc with Vitamin D3 400 Tablets",VitalCore,CC0009,Tamahra,Srikara,0,1
B08W8L23RM,VitalCore Bovine Collagen Complex Capsules,VitalCore,,,,0,0
B08XY3354N,PawVista Anti Bark Collar    Device,PawVista,,,,0,0
B08Z826CNN,VitalCore Glucomannan Complex 180 Capsules,VitalCore,,Aneesh,Sourabh,1,0
B08ZCFTLR7,VitalCore Detox Foot Pads 30 Patches,VitalCore,,Twinkle,Akshay,1,0
B08ZJP4VVM,VitalCore Skinny Coffee.,VitalCore,,,,0,0
B08ZNRB6RP,Medora Vitamin B12,Medora,,,,0,0
B091CSK7FD,Medora Vitamin D3,Medora,,,,0,0
B091FT9L27,VitalCore N-Acetyl-Cysteine(NAC)600mg180Capsules,VitalCore,CC0032,Twinkle,Syed,0,1
